PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
833970,CCC1=CC=C(C=C1)CNC2=CC=C(C=C2)O,-1.1,-113.102,3.1623
6320,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)O)O)[N+](=O)[O-],-1.1,-112.595,2.5119
135472352,C1=CC=C2C(=C1)C(=CN2)/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],-1.1,-110.737,3.1623
4058832,CCCN1C(=O)C(=C(C(=N1)[N+](=O)[O-])C(C#N)C2=NC3=CC=CC=C3S2)Cl,-1.1,-108.801,3.9811
105268,COC1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,-1.1,-108.589,2.5119
833988,CC1=CC=C(C=C1)CNC2=CC=C(C=C2)O,-1.1,-107.778,3.5481
9549472,CC\1(C2=CC=CC=C2N(/C1=C\C=C\C3=[N+](C4=C(C3(C)C)C5=CC=CC=C5C=C4)C)C)C.[O-]Cl(=O)(=O)=O,-1.1,-107.454,1.4125
791069,COC1=CC=C(C=C1)NC2=CC3=NC4(CCCCC4)[N+](=C3C=C2)[O-],-1.1,-106.534,4.4668
3856851,C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-],-1.1,-106.095,3.1623
2287327,C/C(=C\C1=CC=CO1)/C=C/2\C(=O)N(C(=S)S2)CC(=O)O,-1.1,-105.856,3.9811
3707,C1=CC=C2C(=C1)C(=C(N2)O)C3=C(C4=CC=CC=C4N3)N=O,-1.1,-105.349,2.8184
2248499,C1C/C(=C\NC2=CC3=C(C=C2)OCO3)/C(=O)C4=CC=CC=C41,-1.1,-105.058,1.5849
135500895,C1=CC(=C(C=C1Cl)[N+](=O)[O-])C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O,-1.1,-105.02,1.0
5281952,CC[N+]1=C(SC2=CC=CC=C21)/C=C/C=C/C3=CC=C(C=C3)N(C)C.[O-]Cl(=O)(=O)=O,-1.1,-104.598,1.122
6603770,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],-1.1,-104.588,3.1623
2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],-1.1,-104.546,1.7783
16193032,CCN1/C(=C/C2=[N+](C3=CC=CC=C3C=C2)CC=C)/C=CC4=C1C=CC(=C4)C.[Br-],-1.1,-104.232,3.5481
1442755,CC1=C2C(=CC=C1)C=C3C(=C(SC3=N2)C(=O)NC4=CC=C(C=C4)N5CCOCC5)N,-1.1,-104.029,2.8184
135691075,C1C(=O)N(C(=S)S1)/N=C/C2=C(C(=C(C=C2)O)O)O,-1.1,-103.656,3.5481
5713121,C[N+]1=C(C=CC2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],-1.1,-103.557,0.5623
