PUBCHEM_CID,Max_Response_1460,Fit_CurveClass_1460,Potency_1460,Max_Response_1468,Fit_CurveClass_1468,Potency_1468,Max_Response_1463,Fit_CurveClass_1463,Potency_1463,mean_curve_class,mean_max_response
4485,-94.622,-1.1,3.5481,-80.0456,-1.1,3.5481,-17.5835,4,NA,-1.1,-87.3338
6603770,-104.588,-1.1,3.1623,-73.6279,-1.2,2.8184,-24.8463,4,NA,-1.15,-89.10794999999999
4696,-95.6764,-1.1,2.2387,-76.3034,-1.2,1.9953,-19.0743,4,NA,-1.15,-85.9899
151689,-97.3817,-1.1,3.1623,-71.6568,-1.2,3.9811,-20.7613,4,NA,-1.15,-84.51925
2767,-97.8821,-1.1,2.8184,-59.8739,-1.2,2.5119,-21.9473,4,NA,-1.15,-78.878
16745328,-94.1952,-1.1,3.5481,-63.1446,-1.2,3.9811,-14.8811,4,NA,-1.15,-78.6699
5702198,-100.053,-1.1,2.5119,-55.4548,-1.2,2.2387,-23.5255,4,NA,-1.15,-77.7539
2828330,-92.5948,-1.1,1.9953,-60.7703,-1.2,1.4125,-16.0339,4,NA,-1.15,-76.68255
124333,-90.1152,-1.1,3.9811,-62.96,-1.2,7.9433,-21.8144,4,NA,-1.15,-76.5376
5781,-78.9205,-1.1,2.5119,-70.4094,-1.2,2.8184,-24.925,4,NA,-1.15,-74.66495
3237318,-90.3573,-1.1,2.8184,-58.8943,-1.2,4.4668,-19.3411,4,NA,-1.15,-74.6258
442142,-94.6411,-1.1,3.9811,-54.2928,-1.2,3.1623,-19.6917,4,NA,-1.15,-74.46695
2828331,-89.7264,-1.1,2.2387,-58.9112,-1.2,2.8184,-12.6176,4,NA,-1.15,-74.3188
6763,-88.4805,-1.1,3.1623,-51.2666,-1.2,1.2589,-22.3594,4,NA,-1.15,-69.87355
2834991,-84.3642,-1.1,3.5481,-51.8099,-1.2,7.9433,-15.4679,4,NA,-1.15,-68.08705
5711118,-80.754,-1.1,3.1623,-51.6515,-1.2,3.9811,-22.9309,4,NA,-1.15,-66.20275000000001
15945679,-83.5586,-1.1,4.4668,-48.4995,-1.2,4.4668,-1.3977,4,NA,-1.15,-66.02905
