PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency_1558,Efficacy_1558,Fit_HillSlope_1558,Fit_R2_1558,Fit_InfiniteActivity_1558,Fit_ZeroActivity_1558,Fit_CurveClass_1558,Max_Response_1558,rank_1558,Potency_1559,Efficacy_1559,Fit_HillSlope_1559,Fit_R2_1559,Fit_InfiniteActivity_1559,Fit_ZeroActivity_1559,Fit_CurveClass_1559,Max_Response_1559,rank_1559,quencher,rank_1558_1559
25181377,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)N)N,4.4668,95.7828,1.6259,0.9881,-92.7155,3.0673,-1.1,-93.4513,12,6.3096,68.9286,1.1,0.9903,-65.5974,3.3312,-1.2,-59.5238,5,0,17
9795907,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,6.3096,102.052,1.6266,0.9815,-102.396,-0.3438,-1.1,-92.9604,15,7.0795,63.9157,1.6604,0.9894,-67.1701,-3.2544,-1.2,-60.4601,4,0,19
25181383,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N,5.0119,85.6788,1.9282,0.9794,-90.3554,-4.6766,-1.1,-93.1997,13,6.3096,64.1607,1.1,0.9795,-57.1607,7,-1.2,-52.4087,8,0,21
25181376,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)CO)N,3.9811,89.7336,1.8579,0.9826,-89.0767,0.6569,-1.1,-93.1357,14,5.0119,57.0064,1.3437,0.9844,-57.2849,-0.2785,-1.2,-57.7849,7,0,21
647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,7.9433,94.062,1.8851,0.949,-94.5825,-0.5205,-1.1,-94.0,11,10.0,47.6,0.9,0.9758,-50.85,-3.25,-1.2,-45.0,14,0,25
9839953,COC1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,1.0,104.724,0.8,0.9404,-97.5517,7.1718,-1.1,-95.7928,5,1.2589,34.8792,1.111,0.9334,-36.2409,-1.3617,-1.2,-38.9507,22,0,27
135500895,C1=CC(=C(C=C1Cl)[N+](=O)[O-])C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O,1.5849,101.25,2.1211,0.9939,-95.376,5.874,-1.1,-95.5,7,1.5849,32.4,1.9673,0.9857,-38.72,-6.32,-1.2,-38.6,25,0,32
2790671,CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,1.7783,88.0995,1.7885,0.9868,-92.4161,-4.3166,-1.1,-89.4491,23,1.4125,42.8,1.6259,0.9935,-44.18,-1.38,-1.2,-44.0,15,0,38
3653881,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CS3)C(=O)NC4=CC(=CC=C4)Cl,3.5481,82.0346,1.6924,0.9908,-87.4761,-5.4416,-1.1,-88.5592,25,4.4668,32.1418,1.4781,0.9571,-39.7979,-7.6561,-1.2,-43.5816,16,0,41
25181379,C1COCCN1C(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,11.2202,77.7834,2.1211,0.9859,-83.2195,-5.4361,-1.1,-81.8732,32,8.9125,44.8146,2.0479,0.9899,-45.5581,-0.7434,-1.2,-46.549,13,0,45
