sw_smiles,molid,dist,ecfp4,daylight,mces
NNC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)scc13,ZINC000000119691,1,0.7254901960784313,0.9382716049382716,22
Cc1ccc(-n2nc(C(=O)NN)c3csc(N)c3c2=O)cc1,ZINC000005546452,2,0.5689655172413793,0.9156626506024096,22
NNC(=O)c1nn(-c2ccc(Br)cc2)c(=O)c3c(N)scc13,ZINC000005896392,2,0.5689655172413793,0.8976377952755905,22
NNC(=O)c1nn(-c2ccc(Cl)cc2)c(=O)c3c(N)scc13,ZINC000116336589,2,0.5689655172413793,0.9047619047619048,22
CCOC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)scc13,ZINC000000563211,3,0.6727272727272727,0.8007518796992481,22
COC(=O)c1nn(-c2ccccc2)c(=O)c3c(N)sc(C)c13,ZINC000000155494,3,0.4590163934426229,0.7802197802197802,22
NC(=O)CCN(C(=O)c1ccsc1)c2ccccc2,ZINC000073081233,4,0.296875,0.3386454183266932,20
Cc1sccc1C(=O)N(CCC(N)=O)c2ccccc2,ZINC001434848366,4,0.2835820895522388,0.3590733590733591,21
NC(=O)CCN(C(=O)c1ccsc1Br)c2ccccc2,ZINC001124533811,4,0.2835820895522388,0.3271375464684015,21
NC(=O)CCN(C(=O)c1ccsc1Cl)c2ccccc2,ZINC001413976822,4,0.2835820895522388,0.3409090909090909,21
