Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
ZINC000000119691,NNC(=O)c1nn(c2ccccc2)c(=O)c2c1csc2N,C13H11N5O2S,301.32,21,15,0.00,3,4,3,80.52,144.27,1.05,1.28,0.64,1.19,0.84,1.00,-2.85,4.30e-01,1.43e-03,Soluble,-3.91,3.71e-02,1.23e-04,Soluble,-3.47,1.03e-01,3.40e-04,Soluble,Low,No,No,No,No,No,No,No,-7.23,0,0,1,1,0,0.55,0,2,0,2.76
ZINC000005546452,NNC(=O)c1nn(c2ccc(cc2)C)c(=O)c2c1csc2N,C14H13N5O2S,315.35,22,15,0.07,3,4,3,85.48,144.27,1.60,1.65,0.95,1.46,1.33,1.40,-3.14,2.28e-01,7.22e-04,Soluble,-4.29,1.61e-02,5.09e-05,Moderately soluble,-3.85,4.48e-02,1.42e-04,Soluble,Low,No,No,No,No,No,No,No,-7.05,0,0,1,1,0,0.55,0,2,0,2.86
ZINC000005896392,NNC(=O)c1nn(c2ccc(cc2)Br)c(=O)c2c1csc2N,C13H10BrN5O2S,380.22,22,15,0.00,3,4,3,88.22,144.27,1.53,1.97,1.40,1.85,1.52,1.65,-3.75,6.84e-02,1.80e-04,Soluble,-4.63,9.01e-03,2.37e-05,Moderately soluble,-4.27,2.04e-02,5.37e-05,Moderately soluble,Low,No,No,Yes,No,No,No,No,-7.22,0,0,1,1,0,0.55,0,2,1,2.78
ZINC000116336589,NNC(=O)c1nn(c2ccc(cc2)Cl)c(=O)c2c1csc2N,C13H10ClN5O2S,335.77,22,15,0.00,3,4,3,85.53,144.27,1.86,1.91,1.29,1.72,1.48,1.65,-3.43,1.24e-01,3.70e-04,Soluble,-4.56,9.19e-03,2.74e-05,Moderately soluble,-4.07,2.89e-02,8.61e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-6.99,0,0,1,1,0,0.55,0,2,0,2.76
ZINC000000563211,CCOC(=O)c1nn(c2ccccc2)c(=O)c2c1csc2N,C15H13N3O3S,315.35,22,15,0.13,4,4,1,85.71,115.45,2.71,2.97,2.21,2.10,2.74,2.55,-3.91,3.91e-02,1.24e-04,Soluble,-5.06,2.76e-03,8.76e-06,Moderately soluble,-4.30,1.58e-02,5.01e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.11,0,0,0,0,0,0.55,0,0,0,2.90
ZINC000000155494,COC(=O)c1nn(c2ccccc2)c(=O)c2c1c(C)sc2N,C15H13N3O3S,315.35,22,15,0.13,3,4,1,85.87,115.45,2.70,3.00,2.13,2.10,2.87,2.56,-3.99,3.21e-02,1.02e-04,Soluble,-5.09,2.57e-03,8.15e-06,Moderately soluble,-4.28,1.64e-02,5.21e-05,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-6.09,0,0,0,0,0,0.55,0,0,0,2.95
ZINC000073081233,NC(=O)CCN(C(=O)c1cscc1)c1ccccc1,C14H14N2O2S,274.34,19,11,0.14,6,2,1,75.96,91.64,2.02,1.47,2.27,1.52,2.56,1.97,-2.50,8.69e-01,3.17e-03,Soluble,-3.00,2.74e-01,9.98e-04,Soluble,-3.87,3.73e-02,1.36e-04,Soluble,High,No,No,No,Yes,No,No,No,-6.93,0,0,0,0,0,0.55,0,0,0,2.27
ZINC001434848366,NC(=O)CCN(C(=O)c1ccsc1C)c1ccccc1,C15H16N2O2S,288.36,20,11,0.20,6,2,1,80.92,91.64,2.35,1.87,2.58,1.78,3.07,2.33,-2.82,4.40e-01,1.52e-03,Soluble,-3.42,1.11e-01,3.84e-04,Soluble,-4.25,1.63e-02,5.64e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.73,0,0,0,0,0,0.55,0,0,0,2.47
ZINC001124533811,NC(=O)CCN(C(=O)c1ccsc1Br)c1ccccc1,C14H13BrN2O2S,353.23,20,11,0.14,6,2,1,83.66,91.64,2.27,2.49,3.03,2.17,3.25,2.64,-3.61,8.68e-02,2.46e-04,Soluble,-4.06,3.08e-02,8.72e-05,Moderately soluble,-4.68,7.41e-03,2.10e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.69,0,0,0,0,0,0.55,0,0,1,2.61
ZINC001413976822,NC(=O)CCN(C(=O)c1ccsc1Cl)c1ccccc1,C14H13ClN2O2S,308.78,20,11,0.14,6,2,1,80.97,91.64,2.24,2.43,2.92,2.04,3.21,2.57,-3.30,1.56e-01,5.05e-04,Soluble,-4.00,3.11e-02,1.01e-04,Soluble,-4.47,1.05e-02,3.40e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.46,0,0,0,0,0,0.55,0,0,0,2.51
