PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency_1558,Efficacy_1558,Fit_CurveClass_1558,Max_Response_1558,rank_1558,Potency_1559,Efficacy_1559,Fit_CurveClass_1559,Max_Response_1559,rank_1559,quencher,rank_1558_1559,CLSZ_0.4,CLID_0.4,Lipinski #violations,PAINS #alerts,BBB permeant
25181377,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)N)N,4.4668,95.7828,-1.1,-93.4513,12,6.3096,68.9286,-1.2,-59.5238,5,0,17,11.0,1.0,0.0,0.0,No
9795907,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,6.3096,102.052,-1.1,-92.9604,15,7.0795,63.9157,-1.2,-60.4601,4,0,19,11.0,1.0,0.0,0.0,No
25181383,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N,5.0119,85.6788,-1.1,-93.1997,13,6.3096,64.1607,-1.2,-52.4087,8,0,21,11.0,1.0,0.0,0.0,No
25181376,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)CO)N,3.9811,89.7336,-1.1,-93.1357,14,5.0119,57.0064,-1.2,-57.7849,7,0,21,11.0,1.0,0.0,0.0,No
647821,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3,7.9433,94.062,-1.1,-94.0,11,10.0,47.6,-1.2,-45.0,14,0,25,11.0,1.0,0.0,0.0,No
9839953,COC1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,1.0,104.724,-1.1,-95.7928,5,1.2589,34.8792,-1.2,-38.9507,22,0,27,11.0,1.0,0.0,0.0,No
135500895,C1=CC(=C(C=C1Cl)[N+](=O)[O-])C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O,1.5849,101.25,-1.1,-95.5,7,1.5849,32.4,-1.2,-38.6,25,0,32,3.0,7.0,0.0,0.0,No
2790671,CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,1.7783,88.0995,-1.1,-89.4491,23,1.4125,42.8,-1.2,-44.0,15,0,38,3.0,8.0,0.0,0.0,No
3653881,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CS3)C(=O)NC4=CC(=CC=C4)Cl,3.5481,82.0346,-1.1,-88.5592,25,4.4668,32.1418,-1.2,-43.5816,16,0,41,3.0,9.0,0.0,0.0,No
25181379,C1COCCN1C(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,11.2202,77.7834,-1.1,-81.8732,32,8.9125,44.8146,-1.2,-46.549,13,0,45,11.0,1.0,0.0,0.0,No
1350609,CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4,7.9433,95.3338,-1.1,-89.4024,24,10.0,30.5636,-1.2,-38.9507,23,0,47,3.0,9.0,0.0,0.0,No
2790634,CC1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,3.5481,90.3995,-1.1,-89.9313,19,3.9811,29.1777,-1.2,-35.5372,30,0,49,3.0,8.0,0.0,0.0,No
25181366,CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,1.5849,84.3,-1.1,-95.0,8,14.1254,60.32,-2.2,-53.6,43,0,51,1.0,13.0,0.0,0.0,Yes
3119666,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,1.0,75.9861,-1.1,-90.922,18,0.8913,29.9366,-1.2,-32.4881,35,0,53,3.0,9.0,0.0,0.0,No
2118097,C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N,19.9526,90.0,-1.1,-87.6,27,15.8489,33.9,-1.2,-38.6,26,0,53,1.0,15.0,0.0,0.0,No
3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,10.0,77.78,-1.1,-89.5,22,8.9125,31.9,-1.2,-34.5,32,0,54,1.0,16.0,0.0,0.0,No
135470621,C1=CC=C(C(=C1)C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O)[N+](=O)[O-],11.2202,93.175,-1.1,-89.6,21,8.9125,33.7,-1.2,-33.5,34,0,55,3.0,7.0,0.0,0.0,No
2557762,CCOC(=O)C1=CC=C(C=C1)S(=O)(=O)NC2=NC3=C(S2)C=CC(=C3)S(=O)(=O)NC4=NCCCCC4,10.0,73.07,-1.1,-80.6,37,12.5893,35.68,-1.2,-42.0,18,0,55,1.0,18.0,1.0,0.0,No
5310645,CC1=CC2=C(C=CC=C2N=N1)N,14.1254,101.107,-1.3,-94.0,53,39.8107,82.05,-1.2,-68.1,2,0,55,1.0,19.0,0.0,0.0,Yes
16017377,CN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)C3CCCCC3,22.3872,102.688,-1.1,-91.5,17,25.1189,33.16,-1.4,-29.2,41,0,58,1.0,20.0,0.0,0.0,No
939236,COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC,25.1189,95.74,-1.1,-89.8,20,25.1189,36.82,-1.4,-36.1,38,0,58,3.0,21.0,0.0,0.0,Yes
4876538,CC(C)C(C)NC(=O)CSC1=NC2=C(C(=CS2)C3=CC=CO3)C(=O)N1C4=CC=CC=C4,56.2341,99.795,-1.3,-95.4,51,44.6684,47.35,-1.2,-46.6,12,0,63,1.0,22.0,0.0,0.0,No
903329,CN1C(=C(C=N1)Cl)C(=O)NC2=CC(=CC=C2)Cl,44.6684,102.935,-1.1,-82.7,31,35.4813,27.2,-1.4,-29.6,40,0,71,1.0,23.0,0.0,0.0,Yes
943158,CC1=CC(=CC=C1)NCC2=CC3=C(C=CC(=C3)OC)NC2=O,7.9433,96.0,-1.3,-92.1,54,7.0795,38.28,-1.2,-40.9,19,0,73,3.0,21.0,0.0,0.0,Yes
2488340,CN(C1=CC=C(C=C1)O)C(=S)NC2=CN=CC=C2,10.0,67.88,-1.2,-73.2,40,7.0795,24.1,-1.4,-30.6,39,0,79,1.0,25.0,0.0,0.0,No
3711253,CC1=CC=C(C=C1)C(=O)NC2=NC(=O)N(S2)C(=O)C3CC3,8.9125,60.6,-1.2,-59.8,45,6.3096,21.36,-1.2,-31.4,37,0,82,1.0,26.0,0.0,0.0,No
2999671,CCN1C2=C(C=C(C=C2)C(=O)O)N=C1CSC3=NC=CN3C,39.8107,83.4,-1.2,-71.8,42,50.1187,51.77,-2.2,-47.1,44,0,86,1.0,27.0,0.0,0.0,No
135491645,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F,4.4668,64.61,-1.2,-68.1,43,3.9811,20.06,-2.4,-24.5,53,0,96,1.0,28.0,0.0,1.0,No
16023227,C1COC2=C(O1)C=C3C=C(C(=O)N(C3=C2)CC(=O)NC4=CC=CC=C4Cl)CNC5=CC=CC=C5,44.6684,87.11,-1.4,-74.8,57,50.1187,31.76,-2.4,-25.2,52,0,109,1.0,29.0,0.0,0.0,No
1598875,COC(=O)C1=CC=CC=C1NC(=O)CSC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2,39.8107,69.48,-1.3,-61.2,56,56.2341,25.18,-2.4,-19.6,58,0,114,1.0,30.0,0.0,0.0,No
25181372,CCN(CC)C(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,10.0,120.535,-2.1,-94.0762,69,35.4813,46.4379,-2.2,-39.548,46,0,115,11.0,1.0,0.0,0.0,No
6409922,CC1=CC2=C(C=CC=C2NC(=O)NC3=CC=CC=C3)N=N1,50.1187,56.62,-1.4,-53.8,58,28.1838,11.1,-2.4,-18.6,61,0,119,3.0,21.0,0.0,0.0,Yes
2384301,CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=NC3=CC=CC=C3NC2=S,15.8489,54.2,-1.4,-37.2,65,70.7946,25.14,-2.4,-22.8,55,0,120,1.0,33.0,0.0,0.0,No
798725,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC(=C(C=C3)C)C,3.1623,40.2783,-1.2,-52.2703,47,,,-10.0,-29.4275,75,0,122,11.0,1.0,0.0,0.0,No
135401250,CN(C)S(=O)(=O)C1=CC=CC(=C1)N=C2NN=C(CS2)C3=CC=CC=C3,11.2202,34.37,-1.4,-41.0,62,11.2202,14.78,-2.4,-18.7,60,0,122,1.0,35.0,0.0,1.0,No
135512424,CC1=CC(=C(C=C1)C2=CC=C(O2)/C=N/N=C\3/NC(=O)C(S3)CC(=O)O)[N+](=O)[O-],44.6684,102.12,-2.3,-79.8,73,50.1187,29.34,-2.4,-26.3,51,0,124,3.0,7.0,0.0,1.0,No
25181382,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)OCC)N,2.5119,27.2929,-1.2,-33.9886,49,,,-10.0,-19.2616,78,0,127,11.0,1.0,0.0,0.0,No
135482423,CC1=CC=C(C=C1)C2=NNC(=NC3=CC=C(C=C3)F)SC2,25.1189,47.64,-1.4,-39.7,64,70.7946,14.52,-2.4,-17.2,64,0,128,1.0,38.0,0.0,1.0,Yes
2790650,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC,35.4813,47.78,-1.4,-40.2,63,63.0957,17.72,-2.4,-12.7,68,0,131,3.0,8.0,0.0,0.0,No
25181375,CCOC(=O)C1=NN(C(=O)C2=C(SC(=C21)C)N)C3=CC=CC=C3,12.5893,45.9048,-1.2,-36.3076,48,,,-10.0,-12.8411,85,0,133,11.0,1.0,0.0,0.0,No
736077,CC1=C2C(=C(S1)N)C(=O)N(N=C2C(=O)OC)C3=CC=C(C=C3)OC,44.6684,71.5,-2.4,-55.8,77,35.4813,15.34,-2.4,-22.3,56,0,133,,,,,
25181381,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3F,3.9811,32.7137,-1.2,-29.1775,50,,,-10.0,-12.8411,86,0,136,,,,,
25181367,CN(C)C(=O)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,35.4813,87.92,-2.4,-69.1,76,17.7828,15.06,-2.4,-17.5,62,0,138,,,,,
25181364,C1=CNC(=O)C(=C1C2=CC=NC=C2)N,15.8489,103.46,-2.3,-69.1,75,50.1187,19.0,-2.4,-17.1,65,0,140,,,,,
25181365,C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,8.9125,46.12,-1.4,-11.2,68,12.5893,16.84,-2.4,-2.7,73,0,141,,,,,
1205057,C1=CC(=CC(=C1)Cl)C2=CC=C(O2)/C=C\3/C(=O)N(C(=S)S3)CC(=O)O,1.0,74.09,-1.2,-53.9,46,,,-10.0,-7.3,99,0,145,,,,,
1321754,CN(C)C1=CC=C(C=C1)N2C(=O)CSC2=S,19.9526,45.9,-2.4,-32.0,81,12.5893,11.66,-2.4,-14.5,67,0,148,,,,,
11837072,CC1=C2C=NN(C(=O)C2=C(S1)N)C3=CC=CC=C3,28.1838,57.2141,-2.2,-43.9284,71,,,-10.0,-17.1215,81,0,152,,,,,
2247401,COC1=CC=CC(=C1)/C=C/2\C(=O)N(C(=S)S2)CC(=O)NC3=NC=CS3,,,-10.0,-10.2495,107,17.7828,35.2724,-2.4,-31.477,48,0,155,,,,,
5918015,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=O)/C(=C\C3=CC(=CC=C3)OC)/SC2=S,19.9526,40.1361,-2.4,-34.7168,79,,,-10.0,-18.283,79,0,158,,,,,
2814251,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)C)C3=CC=CC=C3,22.3872,128.076,-3.0,-14.4063,84,12.5893,52.4381,-3.0,-14.2933,74,0,158,,,,,
3976167,CC1=CC=C(C=C1)N2C(=O)C(SC2=O)CC3=CC=CC=C3,,,-10.0,-19.2,90,56.2341,25.3,-2.4,-8.6,72,0,162,,,,,
1307421,C1COCCN1C(=O)CSC2=NC3=C(C(=CS3)C4=CC=CO4)C(=O)N2C5=CC=CC=C5,2.8184,19.8551,-1.4,-31.5319,66,,,-10.0,-7.9491,98,0,164,,,,,
2795856,CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-],7.9433,56.78,-2.4,-37.6,78,,,-10.0,-11.7,89,0,167,,,,,
25181374,COC(=O)C1CCC2=C1C(=C(S2)N)C(=O)OCC3=CC=CC=C3,,,-10.0,-25.6884,87,,,-10.0,-11.9048,88,0,175,,,,,
3614254,CC1=CC=C(C=C1)C(=O)NC2=NC(=O)N(S2)C(=O)CC(C)C,,,-10.0,-10.3,105,3.1623,16.76,-2.4,-10.8,71,0,176,,,,,
23878160,CCOC(=O)C1=C(SC2=C1CN(CC2)C)N,,,-10.0,-12.424,96,,,-10.0,-13.2345,84,0,180,,,,,
25181371,C1COCC2=C1C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,-10.0,-11.4455,98,,,-10.0,-15.8479,82,0,180,,,,,
4201507,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)NC4=CC=C(C=C4)C(=O)C,,,-10.0,-16.1,91,,,-10.0,-8.7,97,0,188,,,,,
3119676,CC1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)Cl)NC(=O)CC4=CC=CC=C4,,,-10.0,-7.577,112,,,-10.0,-20.9847,77,0,189,,,,,
25181380,COC1=C(C=C(C=N1)C2=CC=CC=C2)N,35.4813,42.8307,-2.4,-31.1089,82,,,-10.0,-4.2804,108,0,190,,,,,
1268017,CC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,-10.0,-10.5497,103,,,-10.0,-10.4923,90,0,193,,,,,
15989600,COC1=C(C=C(C=C1)NC(=O)CN2C=C(C3=CC=CC=C3C2=O)S(=O)(=O)N4CCN(CC4)C5=CC=CC=C5F)Cl,,,-10.0,13.0,133,35.4813,16.02,-2.4,-15.7,66,0,199,,,,,
3239066,C1CN(CCC1C(=O)NCC2=CN=CC=C2)S(=O)(=O)C3=CC=CS3,,,-10.0,-13.3,93,,,-10.0,-4.6,107,0,200,,,,,
2789721,COC(=O)C1CCC2=C1C(=C(S2)N)C(=O)OC,,,-10.0,-8.5837,111,,,-10.0,-9.7403,91,0,202,,,,,
11837074,CC1=C2C=NN(C(=O)C2=C(S1)NC(=O)C)C3=CC=CC=C3,,,-10.0,-10.893,102,,,-10.0,-5.3505,104,0,206,,,,,
10987982,CCOC(=O)C1=C(SC2=C1CCOC2)N,,,-10.0,-10.3654,104,,,-10.0,-6.4935,102,0,206,,,,,
2248195,CC1=NN=C(S1)NC(=O)CN2C(=O)/C(=C\C3=CC(=CC=C3)OC)/SC2=S,,,-10.0,4.725,130,,,-10.0,-24.6423,76,0,206,,,,,
16007667,CC1=NOC(=C1S(=O)(=O)N2CCC(CC2)C(=O)NC3=CC(=C(C=C3)OC)Cl)/C=C/C4=CC=CS4,,,-10.0,-7.2,114,,,-10.0,-9.1,95,0,209,,,,,
1824214,COC(=O)CSC1=NC2=C(S1)C=C(C=C2)NC(=O)CSC3=NN=NN3CC4=CC=CC=C4,,,-10.0,-3.8,119,,,-10.0,-9.6,92,0,211,,,,,
3119667,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Br,,,-10.0,2.1923,128,,,-10.0,-13.5135,83,0,211,,,,,
2980171,COC1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4)N5CCOCC5)[N+](=O)[O-],,,-10.0,-26.6,86,,,-10.0,-0.9,126,0,212,,,,,
2971796,CC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=CC=CC=N3,,,-10.0,-5.2,118,,,-10.0,-9.1,94,0,212,,,,,
4207696,CC(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NCCC4=CC=CC=C4,,,-10.0,7.7,132,,,-10.0,-17.5,80,0,212,,,,,
3129653,CC(C)(C)C(=O)NC1=C(C2=C(S1)CCC2C(=O)OC)C(=O)OC,,,-10.0,-12.8,94,,,-10.0,-3.0,119,0,213,,,,,
5814,C1=CC(=C(C=C1[C@@H](CN)O)O)O,,,-10.0,-9.6,109,,,-10.0,-4.6,105,0,214,,,,,
4185185,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)CC3=CC=CC=C3)C4=CC=C(C=C4)OC,,,-10.0,-28.8978,85,,,-10.0,2.3847,133,0,218,,,,,
3639936,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)C3=CC=CC=C3)C4=CC=CC=C4,,,-10.0,-7.0389,115,,,-10.0,-5.8232,103,0,218,,,,,
2415,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)N4CCOCC4,,,-10.0,-11.4,99,,,-10.0,-1.8,123,0,222,,,,,
16022892,CC1=CC=C(C=C1)NCC2=CC3=CC4=C(C=C3N(C2=O)CC(=O)NC5=CC=C(C=C5)C)OCCO4,,,-10.0,0.6,126,,,-10.0,-8.8,96,0,222,,,,,
892123,CN1C=C(C(=N1)C(=O)NC2=C(C(=CC=C2)Cl)Cl)Cl,,,-10.0,-5.8,117,,,-10.0,-4.6,106,0,223,,,,,
2916654,COC1=CC(=C(C=C1)OC)NC(=O)C2=C(SC3=C2CCCC3)NCC4=CC=CS4,,,-10.0,-23.903,89,,,-10.0,10.3339,135,0,224,,,,,
135497954,COC1=C(C=CC(=C1)/C=N/N=C\2/NC(=O)C(S2)CC(=O)O)OCC3=CC=C(C=C3)Cl,,,-10.0,-1.7,123,,,-10.0,-7.1,101,0,224,,,,,
16017499,C1CCC(CC1)C(=O)NC2=NN=C(S2)S(=O)(=O)NC3=CC=CC=C3,,,-10.0,-10.1,108,,,-10.0,-3.3,117,0,225,,,,,
648952,CCOC(=O)C1=NN(C(=O)C(=C1C)C#N)C2=CC=CC=C2,,,-10.0,-7.319,113,,,-10.0,-3.7879,112,0,225,,,,,
25181369,COC1=C(C=CC=C1Cl)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,-10.0,-15.3884,92,,,-10.0,4.0355,134,0,226,,,,,
25181373,COC(=O)C1CCC2=C1C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,-10.0,-12.6318,95,,,-10.0,2.3772,132,0,227,,,,,
16017478,CC1=CC=C(C=C1)N(C)S(=O)(=O)C2=NN=C(S2)NC(=O)C3CCCCC3,,,-10.0,1.5,127,,,-10.0,-7.3,100,0,227,,,,,
4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,,,-10.0,-11.1,101,,,-10.0,-0.4,129,0,230,,,,,
3119678,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)Cl,,,-10.0,-11.2251,100,,,-10.0,0.7949,131,0,231,,,,,
16017249,CC1=NN(C(=O)C2=CC=CN12)CC(=O)NCC3=CC=C(C=C3)OC,,,-10.0,-8.7,110,,,-10.0,-2.9,121,0,231,,,,,
6902918,C1COCCN1C2=CC=C(C=C2)/C=N/NC(=S)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,,,-10.0,-1.9,122,,,-10.0,-4.1,109,0,231,,,,,
1486935,CN1C(=O)N=C(S1)NC(=O)C2=CC=CC=C2,,,-10.0,-0.8763,124,,,-10.0,-3.962,111,0,235,,,,,
1047277,COC1=CC=C(C=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,-10.0,-0.5443,125,,,-10.0,-3.9746,110,0,235,,,,,
15991496,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC(=C3)C4=NC5=CC=CC=C5O4,,,-10.0,-6.8,116,,,-10.0,-2.9,120,0,236,,,,,
24302,CC1=NC2=CC=CC=C2OC1=O,,,-10.0,3.2,129,,,-10.0,-3.6,114,0,243,,,,,
16017379,CN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)COC3=CC=CC=C3,,,-10.0,-3.7,120,,,-10.0,-1.1,125,0,245,,,,,
16017325,CCN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)C(C)(C)C,,,-10.0,13.1,134,,,-10.0,-3.7,113,0,247,,,,,
2138945,C1CCN(C1)S(=O)(=O)C2=CC3=C(C=C2)N=C(S3)NC(=O)C4=CC=C(C=C4)F,,,-10.0,15.7,135,,,-10.0,-3.3,116,0,251,,,,,
