Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
25181377,NC(=O)c1nn(c2ccccc2)c(=O)c2c1csc2N,C13H10N4O2S,286.31,20,15,0.00,2,3,2,77.72,132.24,1.60,1.63,1.14,1.18,1.62,1.43,-3.07,2.47e-01,8.61e-04,Soluble,-4.02,2.74e-02,9.56e-05,Moderately soluble,-3.42,1.08e-01,3.78e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.89,0,0,0,1,0,0.55,0,0,0,2.61
9795907,OC(=O)c1nn(c2ccccc2)c(=O)c2c1csc2N,C13H9N3O3S,287.29,20,15,0.00,2,4,2,76.58,126.45,1.64,2.28,1.74,1.59,1.86,1.82,-3.48,9.50e-02,3.31e-04,Soluble,-4.57,7.69e-03,2.68e-05,Moderately soluble,-3.21,1.79e-01,6.22e-04,Soluble,High,No,No,No,No,No,No,No,-6.43,0,0,0,0,0,0.56,0,0,0,2.62
25181383,Nc1scc2c1c(=O)n(nc2N)c1ccccc1,C12H10N4OS,258.30,18,15,0.00,1,2,2,74.03,115.17,1.74,1.74,1.63,2.06,1.74,1.78,-3.09,2.11e-01,8.16e-04,Soluble,-3.78,4.33e-02,1.68e-04,Soluble,-3.48,8.51e-02,3.30e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.64,0,0,0,0,0,0.55,0,0,0,2.67
25181376,OCc1nn(c2ccccc2)c(=O)c2c1csc2N,C13H11N3O2S,273.31,19,15,0.08,2,3,2,75.75,109.38,2.01,1.99,1.38,1.39,2.33,1.82,-3.24,1.57e-01,5.75e-04,Soluble,-3.91,3.34e-02,1.22e-04,Soluble,-3.67,5.88e-02,2.15e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.55,0,0,0,0,0,0.55,0,0,0,2.68
647821,CCOC(=O)c1nn(c2ccccc2)c(=O)c2c1csc2N,C15H13N3O3S,315.35,22,15,0.13,4,4,1,85.71,115.45,2.71,2.97,2.21,2.10,2.74,2.55,-3.91,3.91e-02,1.24e-04,Soluble,-5.06,2.76e-03,8.76e-06,Moderately soluble,-4.30,1.58e-02,5.01e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.11,0,0,0,0,0,0.55,0,0,0,2.90
9839953,COc1ccc(cc1)n1nc(C(=O)O)c2c(c1=O)c(N)sc2,C14H11N3O4S,317.32,22,15,0.07,3,5,2,83.07,135.68,1.85,2.25,1.74,1.05,1.89,1.76,-3.53,9.33e-02,2.94e-04,Soluble,-4.74,5.84e-03,1.84e-05,Moderately soluble,-3.32,1.52e-01,4.79e-04,Soluble,High,No,No,No,No,No,No,No,-6.64,0,0,0,1,0,0.56,0,0,0,2.72
135500895,OC(=O)CC1S/C(=N/N=C/c2ccc(o2)c2ccc(cc2[N+](=O)[O-])Cl)/NC1=O,C16H11ClN4O6S,422.80,28,11,0.12,6,8,2,108.51,175.38,1.80,3.03,2.52,0.58,1.56,1.90,-4.26,2.30e-02,5.43e-05,Moderately soluble,-6.38,1.77e-04,4.18e-07,Poorly soluble,-4.58,1.11e-02,2.62e-05,Moderately soluble,Low,No,No,No,Yes,Yes,No,No,-6.73,0,0,1,1,1,0.55,0,3,1,4.17
2790671,COC(=O)c1c(NC(=O)CCCOc2cccc(c2)C)sc2c1C(CC2)C(=O)OC,C22H25NO6S,431.50,30,11,0.41,11,6,1,114.03,119.17,4.00,4.09,3.65,2.37,5.18,3.86,-4.64,9.95e-03,2.30e-05,Moderately soluble,-6.30,2.17e-04,5.04e-07,Poorly soluble,-6.17,2.90e-04,6.73e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,1,3,4.38
3653881,Clc1cccc(c1)NC(=O)c1c(sc2c1CCCC2)NC(=O)c1cccs1,C20H17ClN2O2S2,416.94,27,16,0.20,6,2,2,113.07,114.68,3.17,6.03,5.46,3.80,6.59,5.01,-6.27,2.26e-04,5.41e-07,Poorly soluble,-8.22,2.53e-06,6.07e-09,Poorly soluble,-7.60,1.04e-05,2.49e-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-4.56,0,0,0,0,1,0.55,0,0,2,3.42
25181379,O=C(c1nn(c2ccccc2)c(=O)c2c1csc2N)N1CCOCC1,C17H16N4O3S,356.40,25,15,0.24,3,4,1,100.02,118.69,2.68,1.84,1.13,1.39,2.24,1.86,-3.45,1.25e-01,3.51e-04,Soluble,-3.95,3.97e-02,1.11e-04,Soluble,-3.93,4.21e-02,1.18e-04,Soluble,High,No,No,Yes,No,Yes,No,Yes,-7.17,0,0,0,0,0,0.55,0,0,1,2.98
